Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",627.783,727.484,734.438,762.316,767.569,632.191,664.926,714.64,779.509,772.229,833.782,891.782,859.504,2020
Burkina Faso,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,454.58","1,536.81","1,568.07","1,629.32","1,637.93","1,657.92","1,831.57","1,988.47","2,111.46","2,211.01","2,220.78","2,413.01","2,573.67",2020
Burkina Faso,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,
Burkina Faso,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.026,0.027,0.027,0.027,0.027,0.028,0.03,0.032,0.033,0.034,0.036,0.036,0.036,2021
Burkina Faso,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",213.374,223.116,238.979,231.079,231.326,225.416,215.197,208.757,204.967,204.629,215.79,204.831,207.865,2021
Burkina Faso,Total investment,Percent of GDP,,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 03/2023,21.99,22.124,24.653,23.71,19.262,19.43,20.846,23.899,25.901,26.272,22.886,24.661,23.445,2021
Burkina Faso,Gross national savings,Percent of GDP,,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 03/2023,20.194,20.796,23.361,13.702,12.098,11.863,14.76,18.894,21.717,23.034,27.031,24.242,18.264,2021
Burkina Faso,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 2014 Primary domestic currency: CFA franc Data last updated: 03/2023,93.48,96.068,99.735,100.259,100,101.653,102.102,103.616,105.643,102.227,104.153,108.224,123.451,2022
Burkina Faso,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-0.608,2.769,3.817,0.525,-0.258,1.653,0.441,1.483,1.956,-3.233,1.885,3.908,14.07,2022
Burkina Faso,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 2014 Primary domestic currency: CFA franc Data last updated: 03/2023,93.529,98.261,99.906,100.026,99.877,102.74,102.43,104.11,104.46,101.79,104.15,112.688,123.506,2022
Burkina Faso,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",-0.261,5.06,1.674,0.12,-0.149,2.867,-0.302,1.64,0.336,-2.556,2.318,8.198,9.6,2022
Burkina Faso,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2023",13.986,10.532,13.171,13.528,-6.417,8.45,2.235,13.012,3.512,-2.652,-2.318,11.223,-0.338,2021
Burkina Faso,Volume of Imports of goods,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2023",8.034,10.619,14.98,15.946,-6.763,7.411,2.939,14.278,4.381,-2.658,1.38,14.799,3.217,2021
Burkina Faso,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2023",54.547,23.932,9.927,1.879,10.018,6.504,11.673,19.424,5.963,-0.052,-2.71,-0.202,1.5,2021
Burkina Faso,Volume of exports of goods,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2023",52.259,25.425,12.472,-1.539,12.12,6.408,12.493,21.194,5.874,0.249,0.153,-0.346,1.094,2021
Burkina Faso,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,
Burkina Faso,Employment,Persons,Millions,,,,,,,,,,,,,,,
Burkina Faso,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 03/2023,16.117,16.603,17.114,17.636,18.17,18.718,19.275,19.836,20.393,20.952,21.54,22.145,22.766,2020
Burkina Faso,General government revenue,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023",880.219,"1,047.29","1,276.51","1,441.75","1,321.15","1,277.98","1,410.70","1,583.58","1,745.87","1,881.97","1,975.34","2,223.87","2,551.94",2021
Burkina Faso,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,17.597,18.397,19.905,21.713,19.19,18.269,18.568,19.232,19.782,19.853,19.137,20.318,20.953,2021
Burkina Faso,General government total expenditure,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023","1,083.23","1,163.39","1,453.72","1,677.34","1,440.76","1,424.16","1,645.11","2,150.00","2,137.71","2,201.27","2,504.30","3,037.58","3,816.81",2021
Burkina Faso,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.655,20.436,22.668,25.261,20.928,20.359,21.654,26.111,24.222,23.222,24.261,27.753,31.338,2021
Burkina Faso,General government net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023",-203.006,-116.1,-177.211,-235.591,-119.612,-146.182,-234.411,-566.421,-391.839,-319.304,-528.965,-813.714,"-1,264.86",2021
Burkina Faso,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-4.058,-2.039,-2.763,-3.548,-1.737,-2.09,-3.085,-6.879,-4.44,-3.368,-5.124,-7.434,-10.385,2021
Burkina Faso,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,
Burkina Faso,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,
Burkina Faso,General government primary net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023",-181.651,-87.809,-135.406,-200.891,-75.6,-102.43,-169.064,-496.905,-294.598,-202.235,-388.388,-621.165,"-1,035.28",2021
Burkina Faso,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-3.631,-1.542,-2.111,-3.025,-1.098,-1.464,-2.225,-6.035,-3.338,-2.133,-3.763,-5.675,-8.5,2021
Burkina Faso,General government net debt,National currency,Billions,,,,,,,,,,,,,,,
Burkina Faso,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,
Burkina Faso,General government gross debt,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023","1,391.57","1,278.95","1,489.25","1,579.33","1,712.71","2,176.40","2,542.35","2,730.59","3,372.42","3,985.56","4,631.59","5,276.58","6,614.44",2021
Burkina Faso,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,27.819,22.466,23.222,23.785,24.878,31.112,33.463,33.162,38.212,42.045,44.87,48.209,54.309,2021
Burkina Faso,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 03/2023","5,002.18","5,692.82","6,413.11","6,640.14","6,884.47","6,995.31","7,597.39","8,234.01","8,825.55","9,479.33","10,322.33","10,945.16","12,179.36",2021
Burkina Faso,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2021 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: CFA franc Data last updated: 03/2023",-0.182,-0.16,-0.162,-1.346,-0.999,-0.895,-0.78,-0.709,-0.665,-0.524,0.744,-0.083,-1.014,2021
Burkina Faso,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.797,-1.328,-1.292,-10.008,-7.165,-7.568,-6.086,-5.005,-4.184,-3.238,4.144,-0.419,-5.181,2021
Burundi,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 03/2023,"1,507.86","1,568.67","1,638.42","1,719.10","1,792.00","1,722.11","1,711.78","1,720.34","1,748.03","1,780.24","1,786.21","1,841.92","1,875.57",2019
Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.124,4.033,4.447,4.924,4.241,-3.9,-0.6,0.5,1.61,1.842,0.335,3.119,1.827,2019
Burundi,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 03/2023,"2,501.05","2,819.53","3,365.81","3,812.50","4,185.00","4,879.79","4,897.10","5,485.07","5,414.49","5,559.59","5,910.57","6,612.79","7,921.69",2019
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.012,3.086,3.351,3.894,2019
Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.753,6.109,6.386,7.069,7.649,8.551,8.358,8.375,8.715,9.035,9.183,9.895,10.782,2019
Burundi,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",165.867,179.741,205.43,221.773,233.538,283.361,286.083,318.837,309.747,312.294,330.901,359.016,422.361,2019
Burundi,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","171,810.88","173,365.01","175,629.53","178,737.02","180,889.94","168,772.07","162,557.56","158,304.61","156,168.14","154,413.10","150,417.99","150,592.22","148,876.93",2016
Burundi,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",836.463,844.029,855.054,870.183,880.664,821.668,791.413,770.707,760.306,751.762,732.311,733.16,724.809,2016
Burundi,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","284,978.10","311,607.79","360,796.15","396,390.73","422,446.55","478,234.15","465,048.82","504,733.12","483,726.32","482,222.89","497,734.45","540,649.49","628,798.09",2016
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,309.112,2016
Burundi,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",655.52,675.193,684.554,734.995,772.157,838.038,793.743,770.707,778.585,783.643,773.33,809.003,855.819,2016
Burundi,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,
Burundi,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.006,0.006,0.006,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,2019
Burundi,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",434.736,461.509,527.053,539.311,547.1,570.659,585.893,654.896,621.289,615.36,643.625,668.291,734.733,2019
Burundi,Total investment,Percent of GDP,,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 03/2023,15.926,15.432,14.855,15.355,18.286,17.286,17.786,18.286,18.786,19.286,19.931,21.772,23.522,2019
Burundi,Gross national savings,Percent of GDP,,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 03/2023,3.688,0.959,-3.737,-5.258,2.662,5.768,6.727,6.573,7.383,7.724,9.649,9.329,7.849,2019
Burundi,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021. 10/01/2020 Harmonized prices: No. The data cover only the national capital, Bujumbura. Base year: 2013. December 2013=100 Primary domestic currency: Burundi franc Data last updated: 03/2023",70.424,77.173,91.2,98.439,102.787,108.496,114.492,133.494,129.8,128.879,138.294,149.791,178.103,2021
Burundi,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.496,9.583,18.176,7.938,4.417,5.554,5.526,16.597,-2.767,-0.709,7.305,8.313,18.901,2021
Burundi,"Inflation, end of period consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021. 10/01/2020 Harmonized prices: No. The data cover only the national capital, Bujumbura. Base year: 2013. December 2013=100 Primary domestic currency: Burundi franc Data last updated: 03/2023",71.409,82.017,91.728,100,103.745,111.145,121.7,134.478,126.574,133.083,143.079,157.491,199.45,2021
Burundi,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",4.082,14.855,11.841,9.017,3.745,7.132,9.497,10.499,-5.877,5.142,7.511,10.073,26.642,2021
Burundi,Volume of imports of goods and services,Percent change,,"Source: Central Bank. Some data are staff estimates Latest actual data: 2020 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 03/2023",66.795,-17.772,8.204,2.446,-5.49,-29.36,10.288,10.92,14.698,45.588,-17.818,14.975,-4.27,2020
Burundi,Volume of Imports of goods,Percent change,,"Source: Central Bank. Some data are staff estimates Latest actual data: 2020 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 03/2023",86.968,-19.509,10.992,-0.547,-13.909,-28.373,7.422,14.988,17.291,44.459,-16.056,13.597,-3.805,2020
Burundi,Volume of exports of goods and services,Percent change,,"Source: Central Bank. Some data are staff estimates Latest actual data: 2020 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 03/2023",16.901,5.532,2.205,37.327,-12.715,-7.099,27.722,29.97,13.224,-15.813,-15.366,-1.581,3.808,2020
Burundi,Volume of exports of goods,Percent change,,"Source: Central Bank. Some data are staff estimates Latest actual data: 2020 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 03/2023",13.6,3.31,14.582,-7.051,34.751,-2.843,19.527,31.509,15.477,-4.677,-21.629,-12.405,20.039,2020
Burundi,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,
Burundi,Employment,Persons,Millions,,,,,,,,,,,,,,,
Burundi,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2016 Primary domestic currency: Burundi franc Data last updated: 03/2023,8.776,9.048,9.329,9.618,9.907,10.204,10.53,10.867,11.193,11.529,11.875,12.231,12.598,2016
Burundi,General government revenue,National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,930.559,"1,091.04","1,135.97","1,253.18","1,026.56",761.668,757.234,"1,046.94","1,048.23","1,244.00","1,365.77","1,661.79","2,126.74",2020
Burundi,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,37.207,38.696,33.75,32.87,24.529,15.609,15.463,19.087,19.36,22.376,23.107,25.13,26.847,2020
Burundi,General government total expenditure,National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,"1,021.53","1,189.47","1,263.66","1,325.58","1,190.99","1,130.55","1,105.49","1,321.54","1,408.78","1,599.55","1,740.32","2,008.94","3,088.98",2020
Burundi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.844,42.187,37.544,34.769,28.459,23.168,22.574,24.093,26.019,28.771,29.444,30.38,38.994,2020
Burundi,General government net lending/borrowing,National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,-90.97,-98.429,-127.695,-72.396,-164.434,-368.878,-348.257,-274.598,-360.55,-355.552,-374.553,-347.156,-962.239,2020
Burundi,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.637,-3.491,-3.794,-1.899,-3.929,-7.559,-7.111,-5.006,-6.659,-6.395,-6.337,-5.25,-12.147,2020
Burundi,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,
Burundi,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,
Burundi,General government primary net lending/borrowing,National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,-76.111,-72.886,-100.61,-42.826,-143.334,-343.878,-316.346,-237.998,-273.877,-225.844,-200.213,-150.384,-756.468,2020
Burundi,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-3.043,-2.585,-2.989,-1.123,-3.425,-7.047,-6.46,-4.339,-5.058,-4.062,-3.387,-2.274,-9.549,2020
Burundi,General government net debt,National currency,Billions,,,,,,,,,,,,,,,
Burundi,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,
Burundi,General government gross debt,National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,"1,173.28","1,204.10","1,394.47","1,443.32","1,589.07","1,948.31","2,258.50","2,572.59","2,868.11","3,335.10","3,898.94","4,401.89","5,410.53",2020
Burundi,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,46.912,42.706,41.43,37.858,37.971,39.926,46.119,46.902,52.971,59.988,65.966,66.566,68.3,2020
Burundi,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December. Reporting is on calendar year (January-December) GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Mixed. Mix of cash and accrual basis General government includes: Central Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Burundi franc Data last updated: 03/2023,"2,501.05","2,819.53","3,365.81","3,812.50","4,185.00","4,879.79","4,897.10","5,485.07","5,414.49","5,559.59","5,910.57","6,612.79","7,921.69",2020
Burundi,Current account balance,U.S. dollars,Billions,"Source: Central Bank. Some data are staff estimates Latest actual data: 2020 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Burundi franc Data last updated: 03/2023",-0.249,-0.324,-0.434,-0.506,-0.423,-0.358,-0.327,-0.372,-0.346,-0.348,-0.317,-0.417,-0.61,2020
Burundi,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-12.238,-14.473,-18.592,-20.613,-15.624,-11.519,-11.059,-11.713,-11.403,-11.562,-10.282,-12.443,-15.673,2019
Cabo Verde,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 02/2023",130.317,135.489,136.955,138.054,138.898,140.297,146.899,152.337,174.527,184.418,157.155,168.156,185.812,2021
Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.467,3.969,1.082,0.803,0.611,1.007,4.706,3.702,14.566,5.668,-14.783,7,10.5,2021
Cabo Verde,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 02/2023",138.569,147.924,150.351,153.723,154.436,158.699,165.782,173.097,201.333,213.942,180.742,196.8,232.686,2021
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.664,1.866,1.742,1.85,1.86,1.597,1.663,1.77,2.155,2.172,1.871,2.112,2.224,2021
Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.805,2.977,2.94,2.964,2.979,3.146,3.358,3.571,4.189,4.506,3.89,4.349,5.143,2021
Cabo Verde,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",106.332,109.178,109.782,111.35,111.186,113.117,112.855,113.628,115.359,116.009,115.009,117.034,125.227,2021
Cabo Verde,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","259,396.82","266,675.34","266,459.95","265,434.91","263,845.62","263,263.63","272,256.42","278,807.22","320,958.33","335,154.18","282,242.45","298,441.78","325,893.28",2018
